Latitude,Longitude,Metres above sea level
39.799168013999996,-86.23801415599999,222.3313
39.799173325,-86.23799871,222.3617
39.799179425,-86.237984708,222.3676
39.799186418,-86.23797202,222.3918
39.799193315,-86.237959625,222.39860000000002
39.799200062,-86.23794597999999,222.4268
39.799207063999994,-86.237931887,222.4488
39.799214173,-86.237918039,222.46920000000003
39.799221068,-86.237904511,222.48260000000002
39.799228139,-86.23789042,222.5074
39.79923638299999,-86.23787667999999,222.5145
39.799245241,-86.237864184,222.5369
39.799253889,-86.23785183999999,222.55720000000002
39.799262061,-86.237839695,222.5701
39.799270798,-86.237827314,222.5817
39.799280287,-86.23781556799999,222.6093
39.799290389999996,-86.237803607,222.6299
39.799300333,-86.23779253999999,222.6386
39.799310158999994,-86.237781849,222.64970000000002
39.799320123,-86.23777137699999,222.6728
39.799330336,-86.237760908,222.6755
39.799341229,-86.237750724,222.69160000000002
39.799352342,-86.237741837,222.7022
39.799363729,-86.237733334,222.7113
39.799375256,-86.237725096,222.727
39.799387085,-86.237717922,222.7346
39.799398587,-86.23771127699999,222.7424
39.799410611999996,-86.237704521,222.7414
39.799423151,-86.237697988,222.7419
39.79943568,-86.23769277,222.74620000000002
39.799448335,-86.23768835199999,222.7435
39.799460835,-86.23768444999999,222.74560000000002
39.799473331,-86.23768146,222.7512
39.799485522,-86.23767858999999,222.7413
39.799498207999996,-86.237676176,222.746
39.799511355,-86.237674633,222.7558
39.799524633,-86.23767395,222.735
39.799536997000004,-86.23767349299999,222.7288
39.799549622,-86.237673335,222.72650000000002
39.799562161,-86.237673035,222.7318
39.799575329999996,-86.23767342000001,222.74470000000002
39.799587912,-86.23767371,222.744
39.79960058299999,-86.23767425499999,222.7268
39.799613795,-86.237674414,222.7165
39.799626589999995,-86.237675236,222.7049
39.799639505,-86.237675873,222.6993
39.799651737,-86.237676427,222.6829
39.799660980999995,-86.23767697899999,222.67329999999998
39.79966743999999,-86.237677802,222.67470000000003
39.799669376999994,-86.237678121,222.6937
39.799672683,-86.237678486,222.64470000000003
39.79968433,-86.23767898,222.6432
39.799697675999994,-86.237679804,222.64370000000002
39.799710805,-86.237680935,222.6357
39.799724047,-86.237681946,222.6249
39.799736966,-86.237683133,222.613
39.799749435,-86.237684046,222.6082
39.799762638,-86.23768500599999,222.60129999999998
39.799776376,-86.23768602899999,222.585
39.799789364999995,-86.237686894,222.585
39.799802741,-86.23768794099999,222.57150000000001
39.799816168999996,-86.237689311,222.558
39.799829433999996,-86.23769077799999,222.5375
39.799842367,-86.237692119,222.53220000000002
39.799855388,-86.23769341399999,222.52439999999999
39.799868574,-86.237694925,222.50900000000001
39.799881313,-86.237696607,222.5039
39.799893705,-86.237698164,222.4848
39.799905851999995,-86.23769902999999,222.48250000000002
39.799918379,-86.237699442,222.458
39.799931656,-86.237699517,222.44660000000002
39.799944671,-86.237699984,222.42260000000002
39.799957398000004,-86.237700323,222.42170000000002
39.799970519,-86.237700854,222.3897
39.799983520999994,-86.237701721,222.3691
39.799996443,-86.237703281,222.366
39.800009366,-86.237704639,222.3663
39.800022213,-86.237705678,222.3349
39.800035419,-86.237706125,222.3218
39.800048294,-86.237706735,222.31220000000002
39.800061216,-86.23770667,222.2933
39.800073874999995,-86.237706491,222.2885
39.800087012999995,-86.237706445,222.2871
39.800099886,-86.237705874,222.26160000000002
39.800112387,-86.237704666,222.2572
39.800124772000004,-86.237702191,222.2498
39.800137039,-86.237698591,222.2318
39.80014985299999,-86.23769453899999,222.248
39.800163094,-86.237690572,222.249
39.80017536,-86.23768688999999,222.2513
39.800188222,-86.23768290599999,222.2346
39.800200694999994,-86.23767932599999,222.2288
39.800213664,-86.237675723,222.2056
39.800226443,-86.237672237,222.2011
39.800239207999994,-86.237668676,222.2006
39.800251769999996,-86.23766476499999,222.1898
39.800264227,-86.237660412,222.17929999999998
39.800276597,-86.237656173,222.1759
39.800289027999995,-86.237651122,222.17610000000002
39.80030194,-86.23764581900001,222.17970000000003
39.800315251,-86.23764039699999,222.1669
39.800327663999994,-86.237636125,222.1628
39.800340047,-86.237630921,222.18460000000002
39.800351868999996,-86.237625473,222.17620000000002
39.80036397,-86.23761945,222.1789
39.800376201999995,-86.23761325299999,222.174
39.800388539,-86.23760701399999,222.1833
39.800400421,-86.23760127199999,222.18570000000003
39.800411643,-86.23759541499999,222.2055
39.80042326,-86.23758885,222.1852
39.800435316,-86.237581878,222.1889
39.800447182,-86.23757492,222.1755
39.800458706,-86.237567724,222.1855
39.800470581999996,-86.23755985599999,222.1978
39.800482373,-86.23755190399999,222.2044
39.800494373999996,-86.237543585,222.1845
39.80050601,-86.237535526,222.1804
39.800517162999995,-86.237527709,222.1743
39.80052848,-86.237518899,222.1728
39.800539949,-86.237509574,222.1746
39.800551602999995,-86.237500508,222.1635
39.800562684,-86.23749202399999,222.17770000000002
39.800573682,-86.23748342,222.1764
39.800584222,-86.237474751,222.169
39.800594247,-86.23746569199999,222.1626
39.800603335,-86.23745751199999,222.16920000000002
39.800611072,-86.237449515,222.1614
39.800620354,-86.237439985,222.168
39.800629033,-86.237430508,222.1508
39.800637585000004,-86.237419738,222.14620000000002
39.800646485,-86.237409861,222.1504
39.800655109,-86.23740013599999,222.15910000000002
39.800664262999994,-86.23738956499999,222.153
39.800673394,-86.237379724,222.1565
39.800682567,-86.237370141,222.16070000000002
39.800692231999996,-86.23736002,222.15179999999998
39.800701822,-86.23734980299999,222.1603
39.800711164999996,-86.23733965599999,222.1536
39.800720572,-86.237328874,222.1565
39.800729994,-86.237318334,222.1549
