Id,Latitude,Longitude
245,39.794211,-86.238735
246,39.79422,-86.238735
247,39.794229,-86.238735
248,39.794238,-86.238735
249,39.794247,-86.238735
250,39.794256,-86.238735
251,39.794265,-86.238735
252,39.794274,-86.238735
253,39.794283,-86.238735
254,39.794292,-86.238735
255,39.794301,-86.238735
256,39.79431,-86.238735
257,39.794319,-86.238735
258,39.794328,-86.238735
259,39.794337,-86.238735
260,39.794346,-86.238735
261,39.794355,-86.238735
262,39.794364,-86.238735
263,39.794373,-86.238735
264,39.794382,-86.238735
265,39.794391,-86.238735
266,39.7944,-86.238736
267,39.794409,-86.238736
268,39.794418,-86.238736
269,39.794427,-86.238736
270,39.794436,-86.238736
271,39.794445,-86.238736
272,39.794454,-86.238737
273,39.794463,-86.238737
274,39.794472,-86.238737
275,39.794481,-86.238737
276,39.79449,-86.238737
277,39.794499,-86.238737
278,39.794508,-86.238738
279,39.794517,-86.238738
280,39.794526,-86.238738
281,39.794535,-86.238738
282,39.794544,-86.238738
283,39.794553,-86.238738
284,39.794562,-86.238739
285,39.79457,-86.238739
286,39.794579,-86.238739
287,39.794588,-86.238739
288,39.794597,-86.238739
289,39.794606,-86.238739
290,39.794615,-86.238739
291,39.794624,-86.238739
292,39.794633,-86.238739
293,39.794642,-86.238739
294,39.794651,-86.238739
295,39.79466,-86.238739
296,39.794669,-86.23874
297,39.794678,-86.23874
298,39.794687,-86.23874
299,39.794696,-86.23874
300,39.794705,-86.23874
301,39.794714,-86.23874
302,39.794723,-86.23874
303,39.794732,-86.23874
304,39.794741,-86.23874
305,39.79475,-86.23874
306,39.794759,-86.23874
307,39.794768,-86.23874
308,39.794777,-86.238741
309,39.794786,-86.238741
310,39.794795,-86.238741
311,39.794804,-86.238741
312,39.794813,-86.238741
313,39.794822,-86.238741
314,39.794831,-86.238741
315,39.79484,-86.238741
316,39.794849,-86.238741
317,39.794858,-86.238741
318,39.794867,-86.238742
319,39.794876,-86.238742
320,39.794885,-86.238742
321,39.794894,-86.238742
322,39.794903,-86.238742
323,39.794912,-86.238742
324,39.794921,-86.238742
325,39.79493,-86.238742
326,39.794939,-86.238742
327,39.794948,-86.238742
328,39.794957,-86.238742
329,39.794966,-86.238742
330,39.794975,-86.238742
331,39.794984,-86.238742
332,39.794993,-86.238742
333,39.795002,-86.238743
334,39.795011,-86.238743
335,39.79502,-86.238743
336,39.795029,-86.238743
337,39.795038,-86.238743
338,39.795047,-86.238743
339,39.795056,-86.238743
340,39.795065,-86.238744
341,39.795074,-86.238744
342,39.795083,-86.238744
343,39.795092,-86.238744
344,39.7951,-86.238744
345,39.795109,-86.238744
346,39.795118,-86.238745
347,39.795127,-86.238745
348,39.795136,-86.238745
349,39.795145,-86.238745
350,39.795154,-86.238745
351,39.795163,-86.238745
352,39.795172,-86.238745
353,39.795181,-86.238745
354,39.79519,-86.238746
355,39.795199,-86.238746
356,39.795208,-86.238746
357,39.795217,-86.238746
358,39.795226,-86.238746
359,39.795235,-86.238746
360,39.795244,-86.238747
